Events|Time (s)|Altitude (km)|Initial velocity(m/s)
S200 Strap-ons Ignition|0.0|0.024|0.0
L110 Core Stage Ignition|110.16|39.408|1192.22
S200 Strap-ons Separation|139.16|62.235|1564.1
Payload Fairing Separation|230.9|115.580|2471.13
L110 Core Stage Shutoff|315.72|155.413|4087.91
L110 Core Stage Separation|318.82|157.245|4124.61
C25 Cryo Stage Ignition|321.24|158.647|4121.74
C25 Cryo Stage Shutoff|988.3|201.031|9758.73
GSAT-29 Separation|1003.5|207.576|9782.76
